SAMPLE	BIN1	BIN1_CONTIGS	BIN1_GC_BIN	BIN1_GC	BIN1_GD	BIN1_RD	BIN2	BIN2_CONTIGS	BIN2_GC_BIN	BIN2_GC	BIN2_GD	BIN2_RD	MERGE_GC_BIN	MERGE_GC	MERGE_GD	MERGE_RD	MERGE_PATH	MILP_INFEASIBLE	BINS_OVERLAP	IS_SUBSET
ecol-SAMN07375592	GP_1	Contig:100:53.838:1306,Contig:110:67.5693:2390,Contig:113:48.6122:20461,Contig:11:88.0556:404,Contig:128:83.9917:2199,Contig:140:99.2189:666,Contig:14:70.6956:944,Contig:151:599.126:1704,Contig:155:145.221:1213,Contig:156:1338.27:1132,Contig:168:75.6953:4498,Contig:172:50.1701:1785,Contig:177:98.648:1830,Contig:181:88.2907:1648,Contig:184:55.0212:11303,Contig:1:129.731:5064,Contig:23:69.9475:46343,Contig:26:88.8731:1275,Contig:48:62.9053:8166,Contig:62:93.711:16900,Contig:81:75.0534:734,Contig:82:105.936:12042,Contig:9:589.294:1475,Contig:108:137.656:3p:1:15:228,Contig:108:137.656:3p:1:17:132,Contig:115:138.43:3p:1:4:161,Contig:117:89.453:5p:1:23:164,Contig:117:89.453:5p:1:33:333,Contig:117:89.453:5p:1:34:354,Contig:117:89.453:5p:1:84:372,Contig:137:78.3797:3p:1:3:133,Contig:189:320.934:3p:1:7:248	4	-0.9614310527003764	9.001737172549321	0.7055930565870461	GP_unb_25	Contig:72:202.465:3p:1:4:148	5	0.0	0.17640647733191206	2.6408955727232426	4	-2.7428248936217465	17.750565973835915	0.10070477086992469	Contig:108:137.656:2013,Contig:109:81.9333:641,Contig:114:163.409:2115,Contig:115:138.43:650,Contig:116:101.28:3998,Contig:118:92.1927:4688,Contig:127:133.766:618,Contig:143:142.883:5071,Contig:144:65.579:57319,Contig:154:166.257:2671,Contig:159:136.656:763,Contig:166:244.788:426,Contig:167:64.7625:92009,Contig:175:298.448:493,Contig:176:96.0059:2237,Contig:17:91.4976:5285,Contig:20:81.9416:4605,Contig:25:133.152:3131,Contig:2:144.437:714,Contig:36:166.178:2184,Contig:45:172.186:675,Contig:51:100.54:1187,Contig:53:88.7729:6589,Contig:54:84.05:6959,Contig:57:187.436:1361,Contig:67:115.751:3583,Contig:68:68.9778:3839,Contig:85:204.888:623,Contig:90:84.8672:10826,Contig:91:174.222:2807,Contig:95:146.758:945,Contig:99:94.9846:7318,Contig:104:77.8675:5p:1:3:119,Contig:108:137.656:3p:1:3:141,Contig:108:137.656:3p:1:6:599,Contig:108:137.656:3p:1:7:248,Contig:108:137.656:3p:1:14:811,Contig:115:138.43:5p:1:5:403,Contig:116:101.28:3p:1:5:208,Contig:117:89.453:5p:1:61:513,Contig:117:89.453:5p:1:92:104,Contig:166:244.788:3p:1:4:130,Contig:166:244.788:3p:1:6:255,Contig:166:244.788:5p:1:6:562,Contig:166:244.788:5p:1:7:335,Contig:166:244.788:5p:1:9:243,Contig:166:244.788:5p:1:12:227,Contig:175:298.448:5p:1:8:1066	0	False	0
ecol-SAMN07375592	GP_0	Contig:102:123.173:867,Contig:104:77.8675:3439,Contig:114:163.409:2115,Contig:116:101.28:3998,Contig:118:92.1927:4688,Contig:127:133.766:618,Contig:135:71.8715:15094,Contig:143:142.883:5071,Contig:156:1338.27:1132,Contig:161:79.4968:3259,Contig:166:244.788:426,Contig:41:100.998:8470,Contig:43:112.453:4770,Contig:45:172.186:675,Contig:68:68.9778:3839,Contig:85:204.888:623,Contig:98:103.787:9144,Contig:104:77.8675:5p:1:3:119,Contig:108:137.656:3p:1:3:141,Contig:117:89.453:5p:1:23:164,Contig:166:244.788:3p:1:4:130,Contig:166:244.788:3p:1:6:255,Contig:28:108.543:5p:1:2:119	4	-0.4256637033428152	4.767309570748919	0.9560874910167352	GP_3	Contig:111:91.9446:744,Contig:124:130.253:1562,Contig:141:127.078:3722,Contig:163:135.431:5425,Contig:175:298.448:493,Contig:17:91.4976:5285,Contig:188:151.529:1722,Contig:37:197.993:1402,Contig:42:139.112:760,Contig:77:138.917:1095,Contig:85:204.888:623,Contig:115:138.43:3p:1:4:161,Contig:117:89.453:5p:1:8:164,Contig:117:89.453:5p:1:22:1429	4	-0.3979827678827157	3.9577111109789307	0.9907137488647266	4	-2.678356461831881	20.18153419712744	0.11532382523364504	Contig:107:134.499:1263,Contig:108:137.656:2013,Contig:109:81.9333:641,Contig:115:138.43:650,Contig:11:88.0556:404,Contig:126:150.403:945,Contig:136:74.1828:1182,Contig:139:112.634:2725,Contig:140:99.2189:666,Contig:148:72.7924:9243,Contig:153:69.5903:24696,Contig:155:145.221:1213,Contig:178:189.234:1238,Contig:189:320.934:860,Contig:190:202.517:509,Contig:23:69.9475:46343,Contig:24:262.159:773,Contig:25:133.152:3131,Contig:51:100.54:1187,Contig:53:88.7729:6589,Contig:54:84.05:6959,Contig:57:187.436:1361,Contig:62:93.711:16900,Contig:67:115.751:3583,Contig:69:64.7476:251308,Contig:82:105.936:12042,Contig:83:137.761:4242,Contig:87:111.722:7379,Contig:89:123.332:728,Contig:90:84.8672:10826,Contig:91:174.222:2807,Contig:94:209.614:3000,Contig:96:74.6613:17729,Contig:99:94.9846:7318,Contig:108:137.656:3p:1:6:599,Contig:108:137.656:3p:1:15:228,Contig:108:137.656:3p:1:17:132,Contig:115:138.43:5p:1:5:403,Contig:116:101.28:3p:1:5:208,Contig:117:89.453:5p:1:33:333,Contig:117:89.453:5p:1:34:354,Contig:117:89.453:5p:1:69:986,Contig:117:89.453:5p:1:84:372,Contig:137:78.3797:3p:1:3:133,Contig:166:244.788:5p:1:6:562,Contig:166:244.788:5p:1:8:336,Contig:166:244.788:5p:1:9:243,Contig:166:244.788:5p:1:12:227,Contig:175:298.448:5p:1:6:177,Contig:175:298.448:5p:1:7:838,Contig:175:298.448:5p:1:8:1066,Contig:185:221.604:3p:1:7:147,Contig:185:221.604:3p:1:8:162,Contig:185:221.604:3p:1:10:355,Contig:189:320.934:3p:1:7:248,Contig:94:209.614:5p:1:3:119	0	True	0
ecol-SAMN07375592	GP_0	Contig:102:123.173:867,Contig:104:77.8675:3439,Contig:114:163.409:2115,Contig:116:101.28:3998,Contig:118:92.1927:4688,Contig:127:133.766:618,Contig:135:71.8715:15094,Contig:143:142.883:5071,Contig:156:1338.27:1132,Contig:161:79.4968:3259,Contig:166:244.788:426,Contig:41:100.998:8470,Contig:43:112.453:4770,Contig:45:172.186:675,Contig:68:68.9778:3839,Contig:85:204.888:623,Contig:98:103.787:9144,Contig:104:77.8675:5p:1:3:119,Contig:108:137.656:3p:1:3:141,Contig:117:89.453:5p:1:23:164,Contig:166:244.788:3p:1:4:130,Contig:166:244.788:3p:1:6:255,Contig:28:108.543:5p:1:2:119	4	-0.4256637033428152	4.767309570748919	0.9560874910167352	GP_4	Contig:112:126.626:454,Contig:117:89.453:1851,Contig:120:183.087:2254,Contig:126:150.403:945,Contig:136:74.1828:1182,Contig:146:76.6929:963,Contig:147:69.5494:963,Contig:151:599.126:1704,Contig:154:166.257:2671,Contig:156:1338.27:1132,Contig:164:143.999:1331,Contig:178:189.234:1238,Contig:190:202.517:509,Contig:20:81.9416:4605,Contig:55:160.872:1425,Contig:56:93.7904:1905,Contig:61:313.421:958,Contig:80:180.781:1638,Contig:93:260.616:1730,Contig:117:89.453:5p:1:14:347,Contig:117:89.453:5p:1:17:175,Contig:117:89.453:5p:1:23:164,Contig:117:89.453:5p:1:84:372,Contig:185:221.604:3p:1:7:147,Contig:185:221.604:3p:1:11:298,Contig:185:221.604:3p:1:12:1106,Contig:37:197.993:5p:1:6:892,Contig:55:160.872:3p:1:5:218,Contig:55:160.872:3p:1:6:502	5	-0.3677829049900584	5.906804923896423	0.6855394243889317	5	-4.121342426087693	23.201575820604006	0.11532382523364346	Contig:107:134.499:1263,Contig:108:137.656:2013,Contig:111:91.9446:744,Contig:115:138.43:650,Contig:11:88.0556:404,Contig:139:112.634:2725,Contig:140:99.2189:666,Contig:153:69.5903:24696,Contig:155:145.221:1213,Contig:175:298.448:493,Contig:189:320.934:860,Contig:1:129.731:5064,Contig:23:69.9475:46343,Contig:24:262.159:773,Contig:25:133.152:3131,Contig:51:100.54:1187,Contig:53:88.7729:6589,Contig:54:84.05:6959,Contig:57:187.436:1361,Contig:62:93.711:16900,Contig:67:115.751:3583,Contig:82:105.936:12042,Contig:83:137.761:4242,Contig:87:111.722:7379,Contig:89:123.332:728,Contig:91:174.222:2807,Contig:94:209.614:3000,Contig:108:137.656:3p:1:6:599,Contig:108:137.656:3p:1:7:248,Contig:108:137.656:3p:1:14:811,Contig:108:137.656:3p:1:15:228,Contig:108:137.656:3p:1:17:132,Contig:115:138.43:3p:1:4:161,Contig:115:138.43:5p:1:5:403,Contig:116:101.28:3p:1:5:208,Contig:117:89.453:5p:1:33:333,Contig:117:89.453:5p:1:34:354,Contig:117:89.453:5p:1:69:986,Contig:137:78.3797:3p:1:3:133,Contig:166:244.788:5p:1:6:562,Contig:166:244.788:5p:1:8:336,Contig:166:244.788:5p:1:9:243,Contig:166:244.788:5p:1:12:227,Contig:175:298.448:5p:1:6:177,Contig:175:298.448:5p:1:7:838,Contig:175:298.448:5p:1:8:1066,Contig:189:320.934:3p:1:7:248,Contig:94:209.614:5p:1:3:119	0	True	0
ecol-SAMN07375592	GP_0	Contig:102:123.173:867,Contig:104:77.8675:3439,Contig:114:163.409:2115,Contig:116:101.28:3998,Contig:118:92.1927:4688,Contig:127:133.766:618,Contig:135:71.8715:15094,Contig:143:142.883:5071,Contig:156:1338.27:1132,Contig:161:79.4968:3259,Contig:166:244.788:426,Contig:41:100.998:8470,Contig:43:112.453:4770,Contig:45:172.186:675,Contig:68:68.9778:3839,Contig:85:204.888:623,Contig:98:103.787:9144,Contig:104:77.8675:5p:1:3:119,Contig:108:137.656:3p:1:3:141,Contig:117:89.453:5p:1:23:164,Contig:166:244.788:3p:1:4:130,Contig:166:244.788:3p:1:6:255,Contig:28:108.543:5p:1:2:119	4	-0.4256637033428152	4.767309570748919	0.9560874910167352	GP_2	Contig:125:260.246:2670,Contig:166:244.788:426,Contig:175:298.448:493,Contig:176:96.0059:2237,Contig:180:120.438:2078,Contig:189:320.934:860,Contig:57:187.436:1361,Contig:74:190.692:1409,Contig:83:137.761:4242,Contig:117:89.453:5p:1:99:503,Contig:166:244.788:3p:1:4:130,Contig:166:244.788:3p:1:6:255,Contig:166:244.788:5p:1:4:180,Contig:175:298.448:5p:1:6:177,Contig:175:298.448:5p:1:7:838,Contig:60:194.367:5p:1:5:164	5	-0.3375083138158033	2.686074638741831	1.183921020870856	5	-3.9336855425008084	20.10939182562	0.052549118416232214	Contig:108:137.656:2013,Contig:111:91.9446:744,Contig:115:138.43:650,Contig:117:89.453:1851,Contig:126:150.403:945,Contig:133:63.3694:97105,Contig:136:74.1828:1182,Contig:137:78.3797:7018,Contig:139:112.634:2725,Contig:145:361.661:1339,Contig:151:599.126:1704,Contig:153:69.5903:24696,Contig:155:145.221:1213,Contig:162:127.104:860,Contig:174:152.633:1395,Contig:178:189.234:1238,Contig:185:221.604:1352,Contig:188:151.529:1722,Contig:190:202.517:509,Contig:1:129.731:5064,Contig:23:69.9475:46343,Contig:51:100.54:1187,Contig:53:88.7729:6589,Contig:54:84.05:6959,Contig:56:93.7904:1905,Contig:61:313.421:958,Contig:62:93.711:16900,Contig:66:64.618:75894,Contig:89:123.332:728,Contig:8:177.91:602,Contig:91:174.222:2807,Contig:93:260.616:1730,Contig:94:209.614:3000,Contig:99:94.9846:7318,Contig:108:137.656:3p:1:6:599,Contig:108:137.656:3p:1:7:248,Contig:108:137.656:3p:1:15:228,Contig:108:137.656:3p:1:17:132,Contig:115:138.43:3p:1:4:161,Contig:115:138.43:5p:1:5:403,Contig:116:101.28:3p:1:5:208,Contig:117:89.453:5p:1:14:347,Contig:117:89.453:5p:1:17:175,Contig:117:89.453:5p:1:33:333,Contig:117:89.453:5p:1:34:354,Contig:117:89.453:5p:1:69:986,Contig:117:89.453:5p:1:84:372,Contig:137:78.3797:3p:1:3:133,Contig:174:152.633:5p:1:3:1274,Contig:175:298.448:5p:1:8:1066,Contig:185:221.604:3p:1:7:147,Contig:185:221.604:3p:1:8:162,Contig:185:221.604:3p:1:9:664,Contig:185:221.604:3p:1:10:355,Contig:55:160.872:3p:1:5:218,Contig:55:160.872:3p:1:6:502,Contig:94:209.614:5p:1:3:119	0	True	0
ecol-SAMN07375592	GP_0	Contig:102:123.173:867,Contig:104:77.8675:3439,Contig:114:163.409:2115,Contig:116:101.28:3998,Contig:118:92.1927:4688,Contig:127:133.766:618,Contig:135:71.8715:15094,Contig:143:142.883:5071,Contig:156:1338.27:1132,Contig:161:79.4968:3259,Contig:166:244.788:426,Contig:41:100.998:8470,Contig:43:112.453:4770,Contig:45:172.186:675,Contig:68:68.9778:3839,Contig:85:204.888:623,Contig:98:103.787:9144,Contig:104:77.8675:5p:1:3:119,Contig:108:137.656:3p:1:3:141,Contig:117:89.453:5p:1:23:164,Contig:166:244.788:3p:1:4:130,Contig:166:244.788:3p:1:6:255,Contig:28:108.543:5p:1:2:119	4	-0.4256637033428152	4.767309570748919	0.9560874910167352	GP_5	Contig:129:66.7905:109842,Contig:132:133.255:2410,Contig:157:89.2882:845,Contig:129:66.7905:3p:1:3:177	4	-0.3067080231929954	-0.5903514107717808	0.7865469915100173	4	-3.635901579303678	19.296700831523644	0.05254911841620924	Contig:107:134.499:1263,Contig:108:137.656:2013,Contig:109:81.9333:641,Contig:111:91.9446:744,Contig:115:138.43:650,Contig:11:88.0556:404,Contig:126:150.403:945,Contig:136:74.1828:1182,Contig:139:112.634:2725,Contig:140:99.2189:666,Contig:150:63.5908:270019,Contig:153:69.5903:24696,Contig:155:145.221:1213,Contig:162:127.104:860,Contig:175:298.448:493,Contig:178:189.234:1238,Contig:188:151.529:1722,Contig:189:320.934:860,Contig:190:202.517:509,Contig:1:129.731:5064,Contig:23:69.9475:46343,Contig:24:262.159:773,Contig:25:133.152:3131,Contig:51:100.54:1187,Contig:53:88.7729:6589,Contig:54:84.05:6959,Contig:57:187.436:1361,Contig:62:93.711:16900,Contig:67:115.751:3583,Contig:82:105.936:12042,Contig:83:137.761:4242,Contig:87:111.722:7379,Contig:89:123.332:728,Contig:90:84.8672:10826,Contig:91:174.222:2807,Contig:94:209.614:3000,Contig:99:94.9846:7318,Contig:108:137.656:3p:1:6:599,Contig:108:137.656:3p:1:7:248,Contig:108:137.656:3p:1:15:228,Contig:108:137.656:3p:1:17:132,Contig:115:138.43:3p:1:4:161,Contig:115:138.43:5p:1:5:403,Contig:116:101.28:3p:1:5:208,Contig:117:89.453:5p:1:8:164,Contig:117:89.453:5p:1:22:1429,Contig:117:89.453:5p:1:33:333,Contig:117:89.453:5p:1:34:354,Contig:117:89.453:5p:1:69:986,Contig:117:89.453:5p:1:84:372,Contig:137:78.3797:3p:1:3:133,Contig:166:244.788:5p:1:6:562,Contig:166:244.788:5p:1:8:336,Contig:166:244.788:5p:1:9:243,Contig:166:244.788:5p:1:12:227,Contig:175:298.448:5p:1:6:177,Contig:175:298.448:5p:1:7:838,Contig:175:298.448:5p:1:8:1066,Contig:185:221.604:3p:1:7:147,Contig:185:221.604:3p:1:8:162,Contig:185:221.604:3p:1:9:664,Contig:185:221.604:3p:1:10:355,Contig:189:320.934:3p:1:7:248,Contig:94:209.614:5p:1:3:119	0	False	0
ecol-SAMN07375592	GP_0	Contig:102:123.173:867,Contig:104:77.8675:3439,Contig:114:163.409:2115,Contig:116:101.28:3998,Contig:118:92.1927:4688,Contig:127:133.766:618,Contig:135:71.8715:15094,Contig:143:142.883:5071,Contig:156:1338.27:1132,Contig:161:79.4968:3259,Contig:166:244.788:426,Contig:41:100.998:8470,Contig:43:112.453:4770,Contig:45:172.186:675,Contig:68:68.9778:3839,Contig:85:204.888:623,Contig:98:103.787:9144,Contig:104:77.8675:5p:1:3:119,Contig:108:137.656:3p:1:3:141,Contig:117:89.453:5p:1:23:164,Contig:166:244.788:3p:1:4:130,Contig:166:244.788:3p:1:6:255,Contig:28:108.543:5p:1:2:119	4	-0.4256637033428152	4.767309570748919	0.9560874910167352	GP_Isolated_0	Contig:152:67.3473:521	4	0.0	0.41523144509818743	0.8732185713096248	0	0	0	0		1	False	0
ecol-SAMN07375592	GP_0	Contig:102:123.173:867,Contig:104:77.8675:3439,Contig:114:163.409:2115,Contig:116:101.28:3998,Contig:118:92.1927:4688,Contig:127:133.766:618,Contig:135:71.8715:15094,Contig:143:142.883:5071,Contig:156:1338.27:1132,Contig:161:79.4968:3259,Contig:166:244.788:426,Contig:41:100.998:8470,Contig:43:112.453:4770,Contig:45:172.186:675,Contig:68:68.9778:3839,Contig:85:204.888:623,Contig:98:103.787:9144,Contig:104:77.8675:5p:1:3:119,Contig:108:137.656:3p:1:3:141,Contig:117:89.453:5p:1:23:164,Contig:166:244.788:3p:1:4:130,Contig:166:244.788:3p:1:6:255,Contig:28:108.543:5p:1:2:119	4	-0.4256637033428152	4.767309570748919	0.9560874910167352	GP_unb_1	Contig:22:207.338:1118	5	0.0	0.0690618415736558	2.764976875491328	5	-4.544847721989098	21.339476373121155	0.05254911841620924	Contig:103:194.212:829,Contig:107:134.499:1263,Contig:108:137.656:2013,Contig:111:91.9446:744,Contig:115:138.43:650,Contig:117:89.453:1851,Contig:11:88.0556:404,Contig:126:150.403:945,Contig:130:66.2376:77462,Contig:133:63.3694:97105,Contig:136:74.1828:1182,Contig:139:112.634:2725,Contig:140:99.2189:666,Contig:145:361.661:1339,Contig:153:69.5903:24696,Contig:155:145.221:1213,Contig:162:127.104:860,Contig:174:152.633:1395,Contig:175:298.448:493,Contig:178:189.234:1238,Contig:185:221.604:1352,Contig:188:151.529:1722,Contig:189:320.934:860,Contig:18:83.8571:3766,Contig:190:202.517:509,Contig:1:129.731:5064,Contig:23:69.9475:46343,Contig:24:262.159:773,Contig:25:133.152:3131,Contig:51:100.54:1187,Contig:53:88.7729:6589,Contig:54:84.05:6959,Contig:56:93.7904:1905,Contig:57:187.436:1361,Contig:61:313.421:958,Contig:62:93.711:16900,Contig:66:64.618:75894,Contig:67:115.751:3583,Contig:82:105.936:12042,Contig:83:137.761:4242,Contig:87:111.722:7379,Contig:89:123.332:728,Contig:8:177.91:602,Contig:91:174.222:2807,Contig:93:260.616:1730,Contig:94:209.614:3000,Contig:99:94.9846:7318,Contig:108:137.656:3p:1:6:599,Contig:108:137.656:3p:1:7:248,Contig:108:137.656:3p:1:15:228,Contig:108:137.656:3p:1:17:132,Contig:115:138.43:3p:1:4:161,Contig:115:138.43:5p:1:5:403,Contig:116:101.28:3p:1:5:208,Contig:117:89.453:5p:1:14:347,Contig:117:89.453:5p:1:17:175,Contig:117:89.453:5p:1:33:333,Contig:117:89.453:5p:1:34:354,Contig:117:89.453:5p:1:69:986,Contig:117:89.453:5p:1:84:372,Contig:137:78.3797:3p:1:3:133,Contig:166:244.788:5p:1:6:562,Contig:166:244.788:5p:1:8:336,Contig:166:244.788:5p:1:9:243,Contig:166:244.788:5p:1:12:227,Contig:174:152.633:5p:1:3:1274,Contig:175:298.448:5p:1:6:177,Contig:175:298.448:5p:1:7:838,Contig:175:298.448:5p:1:8:1066,Contig:185:221.604:3p:1:7:147,Contig:185:221.604:3p:1:8:162,Contig:185:221.604:3p:1:9:664,Contig:185:221.604:3p:1:10:355,Contig:189:320.934:3p:1:7:248,Contig:55:160.872:3p:1:5:218,Contig:55:160.872:3p:1:6:502,Contig:94:209.614:5p:1:3:119	0	False	0
ecol-SAMN07375592	GP_0	Contig:102:123.173:867,Contig:104:77.8675:3439,Contig:114:163.409:2115,Contig:116:101.28:3998,Contig:118:92.1927:4688,Contig:127:133.766:618,Contig:135:71.8715:15094,Contig:143:142.883:5071,Contig:156:1338.27:1132,Contig:161:79.4968:3259,Contig:166:244.788:426,Contig:41:100.998:8470,Contig:43:112.453:4770,Contig:45:172.186:675,Contig:68:68.9778:3839,Contig:85:204.888:623,Contig:98:103.787:9144,Contig:104:77.8675:5p:1:3:119,Contig:108:137.656:3p:1:3:141,Contig:117:89.453:5p:1:23:164,Contig:166:244.788:3p:1:4:130,Contig:166:244.788:3p:1:6:255,Contig:28:108.543:5p:1:2:119	4	-0.4256637033428152	4.767309570748919	0.9560874910167352	GP_unb_2	Contig:28:108.543:407	5	0.0	0.4866869369867052	1.0518788624211306	4	-3.631277674765902	21.725324226569235	0.05254911841620924	Contig:107:134.499:1263,Contig:108:137.656:2013,Contig:109:81.9333:641,Contig:111:91.9446:744,Contig:115:138.43:650,Contig:11:88.0556:404,Contig:126:150.403:945,Contig:136:74.1828:1182,Contig:139:112.634:2725,Contig:140:99.2189:666,Contig:151:599.126:1704,Contig:153:69.5903:24696,Contig:155:145.221:1213,Contig:162:127.104:860,Contig:175:298.448:493,Contig:178:189.234:1238,Contig:188:151.529:1722,Contig:189:320.934:860,Contig:18:83.8571:3766,Contig:190:202.517:509,Contig:1:129.731:5064,Contig:23:69.9475:46343,Contig:24:262.159:773,Contig:25:133.152:3131,Contig:51:100.54:1187,Contig:53:88.7729:6589,Contig:54:84.05:6959,Contig:57:187.436:1361,Contig:62:93.711:16900,Contig:67:115.751:3583,Contig:82:105.936:12042,Contig:83:137.761:4242,Contig:87:111.722:7379,Contig:89:123.332:728,Contig:90:84.8672:10826,Contig:91:174.222:2807,Contig:94:209.614:3000,Contig:95:146.758:945,Contig:99:94.9846:7318,Contig:108:137.656:3p:1:6:599,Contig:108:137.656:3p:1:7:248,Contig:108:137.656:3p:1:15:228,Contig:108:137.656:3p:1:17:132,Contig:115:138.43:3p:1:4:161,Contig:115:138.43:5p:1:5:403,Contig:116:101.28:3p:1:5:208,Contig:117:89.453:5p:1:8:164,Contig:117:89.453:5p:1:22:1429,Contig:117:89.453:5p:1:33:333,Contig:117:89.453:5p:1:34:354,Contig:117:89.453:5p:1:69:986,Contig:117:89.453:5p:1:84:372,Contig:137:78.3797:3p:1:3:133,Contig:166:244.788:5p:1:6:562,Contig:166:244.788:5p:1:8:336,Contig:166:244.788:5p:1:9:243,Contig:166:244.788:5p:1:12:227,Contig:175:298.448:5p:1:6:177,Contig:175:298.448:5p:1:7:838,Contig:175:298.448:5p:1:8:1066,Contig:185:221.604:3p:1:7:147,Contig:185:221.604:3p:1:8:162,Contig:185:221.604:3p:1:9:664,Contig:185:221.604:3p:1:10:355,Contig:189:320.934:3p:1:7:248,Contig:94:209.614:5p:1:3:119	0	False	0
ecol-SAMN07375592	GP_0	Contig:102:123.173:867,Contig:104:77.8675:3439,Contig:114:163.409:2115,Contig:116:101.28:3998,Contig:118:92.1927:4688,Contig:127:133.766:618,Contig:135:71.8715:15094,Contig:143:142.883:5071,Contig:156:1338.27:1132,Contig:161:79.4968:3259,Contig:166:244.788:426,Contig:41:100.998:8470,Contig:43:112.453:4770,Contig:45:172.186:675,Contig:68:68.9778:3839,Contig:85:204.888:623,Contig:98:103.787:9144,Contig:104:77.8675:5p:1:3:119,Contig:108:137.656:3p:1:3:141,Contig:117:89.453:5p:1:23:164,Contig:166:244.788:3p:1:4:130,Contig:166:244.788:3p:1:6:255,Contig:28:108.543:5p:1:2:119	4	-0.4256637033428152	4.767309570748919	0.9560874910167352	GP_6	Contig:30:81.7155:4168,Contig:7:51.4534:21158	4	0.0	0.8895346901975836	0.6337273171279744	0	0	0	0		1	False	0
ecol-SAMN07375592	GP_0	Contig:102:123.173:867,Contig:104:77.8675:3439,Contig:114:163.409:2115,Contig:116:101.28:3998,Contig:118:92.1927:4688,Contig:127:133.766:618,Contig:135:71.8715:15094,Contig:143:142.883:5071,Contig:156:1338.27:1132,Contig:161:79.4968:3259,Contig:166:244.788:426,Contig:41:100.998:8470,Contig:43:112.453:4770,Contig:45:172.186:675,Contig:68:68.9778:3839,Contig:85:204.888:623,Contig:98:103.787:9144,Contig:104:77.8675:5p:1:3:119,Contig:108:137.656:3p:1:3:141,Contig:117:89.453:5p:1:23:164,Contig:166:244.788:3p:1:4:130,Contig:166:244.788:3p:1:6:255,Contig:28:108.543:5p:1:2:119	4	-0.4256637033428152	4.767309570748919	0.9560874910167352	GP_Isolated_1	Contig:4:52.2977:29721	4	0.0	0.4760806800337556	0.7604496535203891	0	0	0	0		1	False	0
ecol-SAMN07375592	GP_0	Contig:102:123.173:867,Contig:104:77.8675:3439,Contig:114:163.409:2115,Contig:116:101.28:3998,Contig:118:92.1927:4688,Contig:127:133.766:618,Contig:135:71.8715:15094,Contig:143:142.883:5071,Contig:156:1338.27:1132,Contig:161:79.4968:3259,Contig:166:244.788:426,Contig:41:100.998:8470,Contig:43:112.453:4770,Contig:45:172.186:675,Contig:68:68.9778:3839,Contig:85:204.888:623,Contig:98:103.787:9144,Contig:104:77.8675:5p:1:3:119,Contig:108:137.656:3p:1:3:141,Contig:117:89.453:5p:1:23:164,Contig:166:244.788:3p:1:4:130,Contig:166:244.788:3p:1:6:255,Contig:28:108.543:5p:1:2:119	4	-0.4256637033428152	4.767309570748919	0.9560874910167352	GP_unb_3	Contig:59:152.023:475	5	0.0	0.2007696325066467	1.8363370958961054	4	-3.5253115959916994	20.447574239839525	0.05254911841620924	Contig:107:134.499:1263,Contig:108:137.656:2013,Contig:109:81.9333:641,Contig:111:91.9446:744,Contig:115:138.43:650,Contig:11:88.0556:404,Contig:126:150.403:945,Contig:136:74.1828:1182,Contig:139:112.634:2725,Contig:140:99.2189:666,Contig:151:599.126:1704,Contig:153:69.5903:24696,Contig:155:145.221:1213,Contig:162:127.104:860,Contig:175:298.448:493,Contig:178:189.234:1238,Contig:188:151.529:1722,Contig:189:320.934:860,Contig:18:83.8571:3766,Contig:190:202.517:509,Contig:1:129.731:5064,Contig:23:69.9475:46343,Contig:24:262.159:773,Contig:25:133.152:3131,Contig:51:100.54:1187,Contig:53:88.7729:6589,Contig:54:84.05:6959,Contig:57:187.436:1361,Contig:62:93.711:16900,Contig:67:115.751:3583,Contig:82:105.936:12042,Contig:83:137.761:4242,Contig:87:111.722:7379,Contig:89:123.332:728,Contig:90:84.8672:10826,Contig:91:174.222:2807,Contig:94:209.614:3000,Contig:99:94.9846:7318,Contig:108:137.656:3p:1:6:599,Contig:108:137.656:3p:1:7:248,Contig:108:137.656:3p:1:15:228,Contig:108:137.656:3p:1:17:132,Contig:115:138.43:3p:1:4:161,Contig:115:138.43:5p:1:5:403,Contig:116:101.28:3p:1:5:208,Contig:117:89.453:5p:1:8:164,Contig:117:89.453:5p:1:21:127,Contig:117:89.453:5p:1:22:1429,Contig:117:89.453:5p:1:33:333,Contig:117:89.453:5p:1:34:354,Contig:117:89.453:5p:1:84:372,Contig:137:78.3797:3p:1:3:133,Contig:166:244.788:5p:1:6:562,Contig:166:244.788:5p:1:7:335,Contig:166:244.788:5p:1:9:243,Contig:166:244.788:5p:1:12:227,Contig:175:298.448:5p:1:6:177,Contig:175:298.448:5p:1:7:838,Contig:175:298.448:5p:1:8:1066,Contig:185:221.604:3p:1:7:147,Contig:185:221.604:3p:1:8:162,Contig:185:221.604:3p:1:9:664,Contig:185:221.604:3p:1:10:355,Contig:189:320.934:3p:1:7:248,Contig:94:209.614:5p:1:3:119	0	False	0
