SAMPLE	BIN1	BIN1_CONTIGS	BIN1_GC_BIN	BIN1_GC	BIN1_GD	BIN1_RD	BIN2	BIN2_CONTIGS	BIN2_GC_BIN	BIN2_GC	BIN2_GD	BIN2_RD	MERGE_GC_BIN	MERGE_GC	MERGE_GD	MERGE_RD	MERGE_PATH	MILP_INFEASIBLE	BINS_OVERLAP	IS_SUBSET
ecol-SAMN17807534	GT_5	Contig:18:271.988:8765,Contig:22:240.45:618,Contig:26:285.255:6440,Contig:27:217.148:2032,Contig:38:209.995:1306,Contig:4:248.441:18896,Contig:58:245.861:10094,Contig:63:266.286:8633,Contig:64:235.043:18269,Contig:67:886.322:1373,Contig:68:238.821:6187,Contig:74:254.222:11479,Contig:17:139.936:5p:1:36:224,Contig:23:263.6:3p:1:5:768,Contig:80:1426.47:458,Contig:17:139.936:5p:1:20:372,Contig:17:139.936:5p:1:40:373,Contig:19:145.992:5p:1:6:459,Contig:19:145.992:5p:1:7:314,Contig:19:145.992:5p:1:8:314,Contig:26:285.255:5p:1:4:115,Contig:26:285.255:5p:1:5:330,Contig:26:285.255:5p:1:10:348,Contig:26:285.255:5p:1:12:361	4	-0.43261632945973444	6.478313010991689	1.1475110522211822	GT_7	Contig:44:592.604:1406,Contig:47:611.584:559,Contig:72:314.92:3701,Contig:75:460.149:2064,Contig:86:342.822:40315,Contig:80:1426.47:458,Contig:26:285.255:5p:1:4:115,Contig:26:285.255:5p:1:5:330,Contig:26:285.255:5p:1:10:348,Contig:26:285.255:5p:1:12:361	5	-0.15793161408387862	4.31311411736515	1.7754730305321338	4	-0.875439207395413	12.286739962810739	0.08565537847243831	Contig:12:344.685:26882,Contig:16:324.166:305,Contig:53:341.521:1010,Contig:88:330.489:69444	0	True	0
ecol-SAMN17807534	GT_5	Contig:18:271.988:8765,Contig:22:240.45:618,Contig:26:285.255:6440,Contig:27:217.148:2032,Contig:38:209.995:1306,Contig:4:248.441:18896,Contig:58:245.861:10094,Contig:63:266.286:8633,Contig:64:235.043:18269,Contig:67:886.322:1373,Contig:68:238.821:6187,Contig:74:254.222:11479,Contig:17:139.936:5p:1:36:224,Contig:23:263.6:3p:1:5:768,Contig:80:1426.47:458,Contig:17:139.936:5p:1:20:372,Contig:17:139.936:5p:1:40:373,Contig:19:145.992:5p:1:6:459,Contig:19:145.992:5p:1:7:314,Contig:19:145.992:5p:1:8:314,Contig:26:285.255:5p:1:4:115,Contig:26:285.255:5p:1:5:330,Contig:26:285.255:5p:1:10:348,Contig:26:285.255:5p:1:12:361	4	-0.43261632945973444	6.478313010991689	1.1475110522211822	GT_11	Contig:62:8126.19:3375	5	0.0	0.40500365978761566	44.70896746623823	0	0	0	0		1	False	0
ecol-SAMN17807534	GT_5	Contig:18:271.988:8765,Contig:22:240.45:618,Contig:26:285.255:6440,Contig:27:217.148:2032,Contig:38:209.995:1306,Contig:4:248.441:18896,Contig:58:245.861:10094,Contig:63:266.286:8633,Contig:64:235.043:18269,Contig:67:886.322:1373,Contig:68:238.821:6187,Contig:74:254.222:11479,Contig:17:139.936:5p:1:36:224,Contig:23:263.6:3p:1:5:768,Contig:80:1426.47:458,Contig:17:139.936:5p:1:20:372,Contig:17:139.936:5p:1:40:373,Contig:19:145.992:5p:1:6:459,Contig:19:145.992:5p:1:7:314,Contig:19:145.992:5p:1:8:314,Contig:26:285.255:5p:1:4:115,Contig:26:285.255:5p:1:5:330,Contig:26:285.255:5p:1:10:348,Contig:26:285.255:5p:1:12:361	4	-0.43261632945973444	6.478313010991689	1.1475110522211822	GT_6	Contig:6:224.199:60391	4	0.0	0.4999999960812188	1.2642642446251737	0	0	0	0		1	False	0
ecol-SAMN17807534	GT_9	Contig:1:2487.24:Circ:4980	4	0.0	0.3284956250983986	13.858075690182432	GT_3	Contig:21:235.239:5147,Contig:23:263.6:28644,Contig:24:227.093:11619,Contig:41:296.277:37334,Contig:55:249.082:38318,Contig:5:280.24:2627,Contig:76:273.176:1991,Contig:8:259.877:510,Contig:17:139.936:5p:1:36:224,Contig:17:139.936:5p:1:44:139,Contig:23:263.6:3p:1:5:768,Contig:17:139.936:5p:1:39:294,Contig:17:139.936:5p:1:40:373,Contig:17:139.936:5p:1:41:396	4	-0.20502505962584675	3.5444942423233563	1.290943092455069	0	0	0	0		1	False	0
ecol-SAMN17807534	GT_9	Contig:1:2487.24:Circ:4980	4	0.0	0.3284956250983986	13.858075690182432	GT_10	Contig:3:11760.1:Circ:4237	4	0.0	0.2252648486723564	63.07499259879529	0	0	0	0		1	False	0
ecol-SAMN17807534	GT_9	Contig:1:2487.24:Circ:4980	4	0.0	0.3284956250983986	13.858075690182432	GT_7	Contig:44:592.604:1406,Contig:47:611.584:559,Contig:72:314.92:3701,Contig:75:460.149:2064,Contig:86:342.822:40315,Contig:80:1426.47:458,Contig:26:285.255:5p:1:4:115,Contig:26:285.255:5p:1:5:330,Contig:26:285.255:5p:1:10:348,Contig:26:285.255:5p:1:12:361	5	-0.15793161408387862	4.31311411736515	1.7754730305321338	0	0	0	0		1	False	0
ecol-SAMN17807534	GT_9	Contig:1:2487.24:Circ:4980	4	0.0	0.3284956250983986	13.858075690182432	GT_11	Contig:62:8126.19:3375	5	0.0	0.40500365978761566	44.70896746623823	0	0	0	0		1	False	0
ecol-SAMN17807534	GT_9	Contig:1:2487.24:Circ:4980	4	0.0	0.3284956250983986	13.858075690182432	GT_6	Contig:6:224.199:60391	4	0.0	0.4999999960812188	1.2642642446251737	0	0	0	0		1	False	0
ecol-SAMN17807534	GT_3	Contig:21:235.239:5147,Contig:23:263.6:28644,Contig:24:227.093:11619,Contig:41:296.277:37334,Contig:55:249.082:38318,Contig:5:280.24:2627,Contig:76:273.176:1991,Contig:8:259.877:510,Contig:17:139.936:5p:1:36:224,Contig:17:139.936:5p:1:44:139,Contig:23:263.6:3p:1:5:768,Contig:17:139.936:5p:1:39:294,Contig:17:139.936:5p:1:40:373,Contig:17:139.936:5p:1:41:396	4	-0.20502505962584675	3.5444942423233563	1.290943092455069	GT_10	Contig:3:11760.1:Circ:4237	4	0.0	0.2252648486723564	63.07499259879529	0	0	0	0		1	False	0
ecol-SAMN17807534	GT_3	Contig:21:235.239:5147,Contig:23:263.6:28644,Contig:24:227.093:11619,Contig:41:296.277:37334,Contig:55:249.082:38318,Contig:5:280.24:2627,Contig:76:273.176:1991,Contig:8:259.877:510,Contig:17:139.936:5p:1:36:224,Contig:17:139.936:5p:1:44:139,Contig:23:263.6:3p:1:5:768,Contig:17:139.936:5p:1:39:294,Contig:17:139.936:5p:1:40:373,Contig:17:139.936:5p:1:41:396	4	-0.20502505962584675	3.5444942423233563	1.290943092455069	GT_7	Contig:44:592.604:1406,Contig:47:611.584:559,Contig:72:314.92:3701,Contig:75:460.149:2064,Contig:86:342.822:40315,Contig:80:1426.47:458,Contig:26:285.255:5p:1:4:115,Contig:26:285.255:5p:1:5:330,Contig:26:285.255:5p:1:10:348,Contig:26:285.255:5p:1:12:361	5	-0.15793161408387862	4.31311411736515	1.7754730305321338	4	-0.851552590889072	12.202153328117694	0.08051553740551753	Contig:18:271.988:8765,Contig:22:240.45:618,Contig:27:217.148:2032,Contig:48:142.666:20586,Contig:64:235.043:18269,Contig:67:886.322:1373,Contig:68:238.821:6187,Contig:83:150.373:84051,Contig:17:139.936:5p:1:17:201,Contig:17:139.936:5p:1:20:372,Contig:17:139.936:5p:1:28:171,Contig:17:139.936:5p:1:30:283,Contig:19:145.992:5p:1:6:459,Contig:26:285.255:5p:1:20:127,Contig:83:150.373:5p:1:3:386,Contig:83:150.373:5p:1:4:386,Contig:83:150.373:5p:1:5:258,Contig:83:150.373:5p:1:6:258	0	False	0
ecol-SAMN17807534	GT_3	Contig:21:235.239:5147,Contig:23:263.6:28644,Contig:24:227.093:11619,Contig:41:296.277:37334,Contig:55:249.082:38318,Contig:5:280.24:2627,Contig:76:273.176:1991,Contig:8:259.877:510,Contig:17:139.936:5p:1:36:224,Contig:17:139.936:5p:1:44:139,Contig:23:263.6:3p:1:5:768,Contig:17:139.936:5p:1:39:294,Contig:17:139.936:5p:1:40:373,Contig:17:139.936:5p:1:41:396	4	-0.20502505962584675	3.5444942423233563	1.290943092455069	GT_11	Contig:62:8126.19:3375	5	0.0	0.40500365978761566	44.70896746623823	0	0	0	0		1	False	0
ecol-SAMN17807534	GT_3	Contig:21:235.239:5147,Contig:23:263.6:28644,Contig:24:227.093:11619,Contig:41:296.277:37334,Contig:55:249.082:38318,Contig:5:280.24:2627,Contig:76:273.176:1991,Contig:8:259.877:510,Contig:17:139.936:5p:1:36:224,Contig:17:139.936:5p:1:44:139,Contig:23:263.6:3p:1:5:768,Contig:17:139.936:5p:1:39:294,Contig:17:139.936:5p:1:40:373,Contig:17:139.936:5p:1:41:396	4	-0.20502505962584675	3.5444942423233563	1.290943092455069	GT_6	Contig:6:224.199:60391	4	0.0	0.4999999960812188	1.2642642446251737	0	0	0	0		1	False	0
ecol-SAMN17807534	GT_10	Contig:3:11760.1:Circ:4237	4	0.0	0.2252648486723564	63.07499259879529	GT_7	Contig:44:592.604:1406,Contig:47:611.584:559,Contig:72:314.92:3701,Contig:75:460.149:2064,Contig:86:342.822:40315,Contig:80:1426.47:458,Contig:26:285.255:5p:1:4:115,Contig:26:285.255:5p:1:5:330,Contig:26:285.255:5p:1:10:348,Contig:26:285.255:5p:1:12:361	5	-0.15793161408387862	4.31311411736515	1.7754730305321338	0	0	0	0		1	False	0
ecol-SAMN17807534	GT_10	Contig:3:11760.1:Circ:4237	4	0.0	0.2252648486723564	63.07499259879529	GT_11	Contig:62:8126.19:3375	5	0.0	0.40500365978761566	44.70896746623823	0	0	0	0		1	False	0
ecol-SAMN17807534	GT_10	Contig:3:11760.1:Circ:4237	4	0.0	0.2252648486723564	63.07499259879529	GT_6	Contig:6:224.199:60391	4	0.0	0.4999999960812188	1.2642642446251737	0	0	0	0		1	False	0
ecol-SAMN17807534	GT_7	Contig:44:592.604:1406,Contig:47:611.584:559,Contig:72:314.92:3701,Contig:75:460.149:2064,Contig:86:342.822:40315,Contig:80:1426.47:458,Contig:26:285.255:5p:1:4:115,Contig:26:285.255:5p:1:5:330,Contig:26:285.255:5p:1:10:348,Contig:26:285.255:5p:1:12:361	5	-0.15793161408387862	4.31311411736515	1.7754730305321338	GT_11	Contig:62:8126.19:3375	5	0.0	0.40500365978761566	44.70896746623823	0	0	0	0		1	False	0
ecol-SAMN17807534	GT_7	Contig:44:592.604:1406,Contig:47:611.584:559,Contig:72:314.92:3701,Contig:75:460.149:2064,Contig:86:342.822:40315,Contig:80:1426.47:458,Contig:26:285.255:5p:1:4:115,Contig:26:285.255:5p:1:5:330,Contig:26:285.255:5p:1:10:348,Contig:26:285.255:5p:1:12:361	5	-0.15793161408387862	4.31311411736515	1.7754730305321338	GT_6	Contig:6:224.199:60391	4	0.0	0.4999999960812188	1.2642642446251737	0	0	0	0		1	False	0
ecol-SAMN17807534	GT_11	Contig:62:8126.19:3375	5	0.0	0.40500365978761566	44.70896746623823	GT_6	Contig:6:224.199:60391	4	0.0	0.4999999960812188	1.2642642446251737	0	0	0	0		1	False	0
