SAMPLE	BIN1	BIN1_CONTIGS	BIN1_GC_BIN	BIN1_GC	BIN1_GD	BIN1_RD	BIN2	BIN2_CONTIGS	BIN2_GC_BIN	BIN2_GC	BIN2_GD	BIN2_RD	MERGE_GC_BIN	MERGE_GC	MERGE_GD	MERGE_RD	MERGE_PATH	MILP_INFEASIBLE	BINS_OVERLAP	IS_SUBSET
abau-SAMN36766187	PBF_P3	Contig:24:54.5404:64378,Contig:41:54.1766:72718,Contig:67:57.561:50863,Contig:48:56.2626:134264,Contig:15:68.5517:5p:1:9:117,Contig:11:148.299:614,Contig:28:523.434:1087,Contig:65:57.5247:17794,Contig:35:127.998:3638,Contig:59:59.508:148186,Contig:16:59.8178:3p:1:41:1180,Contig:15:68.5517:8277,Contig:6:58.7435:2849,Contig:48:56.2626:3p:1:8:1388,Contig:15:68.5517:5p:1:5:554,Contig:32:56.2521:47646,Contig:52:124.969:571,Contig:19:120.268:2606,Contig:49:55.9786:5p:1:2:354	4	0	0	0	PBF_P4	Contig:35:127.998:3638,Contig:19:120.268:2606	4	0	0	0	0	0	0	0	[]	0	1	1
abau-SAMN36766187	PBF_P3	Contig:24:54.5404:64378,Contig:41:54.1766:72718,Contig:67:57.561:50863,Contig:48:56.2626:134264,Contig:15:68.5517:5p:1:9:117,Contig:11:148.299:614,Contig:28:523.434:1087,Contig:65:57.5247:17794,Contig:35:127.998:3638,Contig:59:59.508:148186,Contig:16:59.8178:3p:1:41:1180,Contig:15:68.5517:8277,Contig:6:58.7435:2849,Contig:48:56.2626:3p:1:8:1388,Contig:15:68.5517:5p:1:5:554,Contig:32:56.2521:47646,Contig:52:124.969:571,Contig:19:120.268:2606,Contig:49:55.9786:5p:1:2:354	4	0.0	2.468463057487618	0.870061330331134	PBF_P5	Contig:28:523.434:1087,Contig:48:56.2626:3p:1:16:208,Contig:9:59.1193:21914,Contig:8:364.111:722,Contig:3:57.6652:106599,Contig:48:56.2626:3p:1:8:1388,Contig:16:59.8178:3p:1:41:1180,Contig:48:56.2626:3p:1:2:154,Contig:21:58.1783:3654,Contig:51:63.365:9693	4	-0.008363280889856883	0.9118031526231251	0.9187416176203784	4	-0.008363280889856883	3.4124030045855203	0.8700613303317368	Contig:53:68.0219:58883	0	True	0
abau-SAMN36766187	PBF_P3	Contig:24:54.5404:64378,Contig:41:54.1766:72718,Contig:67:57.561:50863,Contig:48:56.2626:134264,Contig:15:68.5517:5p:1:9:117,Contig:11:148.299:614,Contig:28:523.434:1087,Contig:65:57.5247:17794,Contig:35:127.998:3638,Contig:59:59.508:148186,Contig:16:59.8178:3p:1:41:1180,Contig:15:68.5517:8277,Contig:6:58.7435:2849,Contig:48:56.2626:3p:1:8:1388,Contig:15:68.5517:5p:1:5:554,Contig:32:56.2521:47646,Contig:52:124.969:571,Contig:19:120.268:2606,Contig:49:55.9786:5p:1:2:354	4	0.0	2.468463057487618	0.870061330331134	PBF_P6	Contig:57:62.8882:3565	5	0.0	0.411909637886019	0.9989456298873302	4	-0.013512762554801327	2.8803726953736373	0.8700613303317368		0	False	0
abau-SAMN36766187	PBF_P3	Contig:24:54.5404:64378,Contig:41:54.1766:72718,Contig:67:57.561:50863,Contig:48:56.2626:134264,Contig:15:68.5517:5p:1:9:117,Contig:11:148.299:614,Contig:28:523.434:1087,Contig:65:57.5247:17794,Contig:35:127.998:3638,Contig:59:59.508:148186,Contig:16:59.8178:3p:1:41:1180,Contig:15:68.5517:8277,Contig:6:58.7435:2849,Contig:48:56.2626:3p:1:8:1388,Contig:15:68.5517:5p:1:5:554,Contig:32:56.2521:47646,Contig:52:124.969:571,Contig:19:120.268:2606,Contig:49:55.9786:5p:1:2:354	4	0.0	2.468463057487618	0.870061330331134	PBF_P7	Contig:17:64.0815:23963	4	0.0	0.11738016303907095	0.9955815517323432	4	-0.0001599595315956437	2.397503678576114	0.8700613303335558	Contig:33:63.3003:186507,Contig:17:64.0815:3p:1:5:274	0	False	0
abau-SAMN36766187	PBF_P4	Contig:35:127.998:3638,Contig:19:120.268:2606	4	0.0	0.869363833204514	1.8891677086781276	PBF_P5	Contig:28:523.434:1087,Contig:48:56.2626:3p:1:16:208,Contig:9:59.1193:21914,Contig:8:364.111:722,Contig:3:57.6652:106599,Contig:48:56.2626:3p:1:8:1388,Contig:16:59.8178:3p:1:41:1180,Contig:48:56.2626:3p:1:2:154,Contig:21:58.1783:3654,Contig:51:63.365:9693	4	-0.008363280889856883	0.9118031526231251	0.9187416176203784	4	-0.008363280889856883	1.43958742210101	0.9187416176209808	Contig:25:61.8661:109957,Contig:27:427.592:1720,Contig:52:124.969:571,Contig:61:66.948:32003,Contig:25:61.8661:3p:1:9:274	0	False	0
abau-SAMN36766187	PBF_P4	Contig:35:127.998:3638,Contig:19:120.268:2606	4	0.0	0.869363833204514	1.8891677086781276	PBF_P6	Contig:57:62.8882:3565	5	0.0	0.411909637886019	0.9989456298873302	0	0	0	0		1	False	0
abau-SAMN36766187	PBF_P4	Contig:35:127.998:3638,Contig:19:120.268:2606	4	0.0	0.869363833204514	1.8891677086781276	PBF_P7	Contig:17:64.0815:23963	4	0.0	0.11738016303907095	0.9955815517323432	4	-0.0001599595315956437	0.7991531308195919	0.9190115425571624	Contig:13:60.938:147091,Contig:20:132.459:539,Contig:25:61.8661:109957,Contig:27:427.592:1720,Contig:28:523.434:1087,Contig:33:63.3003:186507,Contig:47:67.2746:9289,Contig:52:124.969:571,Contig:61:66.948:32003,Contig:16:59.8178:3p:1:41:1180,Contig:17:64.0815:3p:1:5:274,Contig:25:61.8661:3p:1:9:274	0	False	0
abau-SAMN36766187	PBF_P5	Contig:28:523.434:1087,Contig:48:56.2626:3p:1:16:208,Contig:9:59.1193:21914,Contig:8:364.111:722,Contig:3:57.6652:106599,Contig:48:56.2626:3p:1:8:1388,Contig:16:59.8178:3p:1:41:1180,Contig:48:56.2626:3p:1:2:154,Contig:21:58.1783:3654,Contig:51:63.365:9693	4	-0.008363280889856883	0.9118031526231251	0.9187416176203784	PBF_P6	Contig:57:62.8882:3565	5	0.0	0.411909637886019	0.9989456298873302	0	0	0	0		1	False	0
abau-SAMN36766187	PBF_P5	Contig:28:523.434:1087,Contig:48:56.2626:3p:1:16:208,Contig:9:59.1193:21914,Contig:8:364.111:722,Contig:3:57.6652:106599,Contig:48:56.2626:3p:1:8:1388,Contig:16:59.8178:3p:1:41:1180,Contig:48:56.2626:3p:1:2:154,Contig:21:58.1783:3654,Contig:51:63.365:9693	4	-0.008363280889856883	0.9118031526231251	0.9187416176203784	PBF_P7	Contig:17:64.0815:23963	4	0.0	0.11738016303907095	0.9955815517323432	4	-0.008523240421452527	0.8408437737116211	0.9187416176209808	Contig:33:63.3003:186507,Contig:17:64.0815:3p:1:5:274	0	False	0
abau-SAMN36766187	PBF_P6	Contig:57:62.8882:3565	5	0.0	0.411909637886019	0.9989456298873302	PBF_P7	Contig:17:64.0815:23963	4	0.0	0.11738016303907095	0.9955815517323432	0	0	0	0		1	False	0
