SAMPLE	BIN1	BIN1_CONTIGS	BIN1_GC_BIN	BIN1_GC	BIN1_GD	BIN1_RD	BIN2	BIN2_CONTIGS	BIN2_GC_BIN	BIN2_GC	BIN2_GD	BIN2_RD	MERGE_GC_BIN	MERGE_GC	MERGE_GD	MERGE_RD	MERGE_PATH	MILP_INFEASIBLE	BINS_OVERLAP	IS_SUBSET
efae-SAMN36766199	PBF_P1	Contig:3:449.536:Circ:4377	4	0.0	0.17279999999999995	11.236106765323669	PBF_P2	Contig:172:65.2698:1011,Contig:164:53.0191:4427,Contig:152:150.366:1324,Contig:179:76.864:5374,Contig:98:113.623:1298,Contig:144:96.241:1063,Contig:50:537.415:853,Contig:76:1010.18:1514,Contig:90:56.3658:5p:1:3:155,Contig:70:33.8615:9586,Contig:119:26.7415:2022,Contig:33:81.2677:5591,Contig:206:116.54:779,Contig:161:68.5411:9564,Contig:46:26.7245:26728,Contig:159:718.244:809,Contig:17:30.4511:1700,Contig:136:36.9978:3p:1:14:116,Contig:58:31.1346:5135,Contig:149:24.6094:2162,Contig:108:35.4637:3p:1:2:484,Contig:47:35.1711:4951,Contig:178:51.2595:5p:1:19:217,Contig:52:26.8434:2697,Contig:32:174.226:1680,Contig:173:34.9282:5287,Contig:136:36.9978:3p:1:10:261,Contig:118:175.893:1493,Contig:65:75.7995:21078,Contig:45:197.424:954,Contig:131:68.5403:2590,Contig:100:34.4641:3p:1:9:732,Contig:154:26.132:3880,Contig:157:57.4583:3p:1:4:206,Contig:204:76.8712:41878,Contig:43:32.7456:1091,Contig:102:88.6468:777,Contig:157:57.4583:793,Contig:210:565.886:1794,Contig:111:54.5961:4931,Contig:86:85.4191:6389,Contig:77:284.925:3906,Contig:178:51.2595:2346,Contig:90:56.3658:1467,Contig:178:51.2595:5p:1:21:218,Contig:11:70.1131:2688,Contig:29:39.7161:5936,Contig:133:35.7836:8387,Contig:125:26.8369:3p:1:122:163,Contig:125:26.8369:3p:1:13:494,Contig:116:37.7825:5p:1:8:593,Contig:227:27.4726:32381,Contig:59:34.9402:1996,Contig:93:85.7917:10481,Contig:125:26.8369:3p:1:55:193,Contig:42:85.5519:3430,Contig:125:26.8369:3p:1:14:532,Contig:171:62.2474:1930,Contig:84:49.1724:1544,Contig:116:37.7825:10272,Contig:125:26.8369:3p:1:142:209,Contig:201:49.2948:4689,Contig:151:136.136:1466,Contig:192:33.5453:3p:1:2:225,Contig:188:543.698:552,Contig:78:316.833:684,Contig:178:51.2595:5p:1:10:193,Contig:108:35.4637:3p:1:5:489,Contig:10:43.5889:2457,Contig:79:75.5968:4343,Contig:143:43.5521:1852,Contig:13:300.614:597,Contig:67:36.4104:6846,Contig:125:26.8369:2489,Contig:123:44.0973:587,Contig:138:35.7228:3p:1:2:579,Contig:125:26.8369:3p:1:121:758	4	-0.11876254511591505	7.214599999999999	0.5968942097532512	0	0	0	0		1	False	0
efae-SAMN36766199	PBF_P1	Contig:3:449.536:Circ:4377	4	0.0	0.17279999999999995	11.236106765323669	PBF_P3	Contig:102:88.6468:777,Contig:90:56.3658:5p:1:4:154,Contig:157:57.4583:793,Contig:136:36.9978:3p:1:14:116,Contig:210:565.886:1794,Contig:68:30.1742:1457,Contig:42:85.5519:3430,Contig:164:53.0191:4427,Contig:152:150.366:1324,Contig:98:113.623:1298,Contig:108:35.4637:3p:1:2:484,Contig:50:537.415:853,Contig:84:49.1724:1544,Contig:209:258.736:739,Contig:76:1010.18:1514,Contig:86:85.4191:6389,Contig:178:51.2595:2346,Contig:201:49.2948:4689,Contig:178:51.2595:5p:1:19:217,Contig:32:174.226:1680,Contig:60:31.8529:15921,Contig:192:33.5453:3p:1:2:225,Contig:90:56.3658:1467,Contig:188:543.698:552,Contig:78:316.833:684,Contig:178:51.2595:5p:1:10:193,Contig:136:36.9978:3p:1:10:261,Contig:118:175.893:1493,Contig:10:43.5889:2457,Contig:65:75.7995:21078,Contig:45:197.424:954,Contig:33:81.2677:5591,Contig:79:75.5968:4343,Contig:143:43.5521:1852,Contig:206:116.54:779,Contig:190:76.9418:641,Contig:29:39.7161:5936,Contig:133:35.7836:8387,Contig:139:264.931:653,Contig:136:36.9978:3p:1:13:303,Contig:218:31.4241:10096,Contig:13:300.614:597,Contig:157:57.4583:3p:1:4:206,Contig:217:32.6544:14320,Contig:161:68.5411:9564,Contig:159:718.244:809,Contig:138:35.7228:3p:1:2:579,Contig:56:28.1477:3170,Contig:204:76.8712:41878,Contig:227:27.4726:32381,Contig:93:85.7917:10481	4	-0.0797108616895961	4.5756	0.6116173974416539	0	0	0	0		1	False	0
efae-SAMN36766199	PBF_P1	Contig:3:449.536:Circ:4377	4	0.0	0.17279999999999995	11.236106765323669	PBF_P4	Contig:102:88.6468:777,Contig:157:57.4583:793,Contig:136:36.9978:3p:1:14:116,Contig:178:51.2595:5p:1:5:549,Contig:68:30.1742:1457,Contig:42:85.5519:3430,Contig:58:31.1346:5135,Contig:152:150.366:1324,Contig:214:85.3975:7944,Contig:98:113.623:1298,Contig:108:35.4637:3p:1:2:484,Contig:50:537.415:853,Contig:84:49.1724:1544,Contig:209:258.736:739,Contig:76:1010.18:1514,Contig:86:85.4191:6389,Contig:178:51.2595:2346,Contig:178:51.2595:5p:1:19:217,Contig:151:136.136:1466,Contig:32:174.226:1680,Contig:192:33.5453:3p:1:2:225,Contig:90:56.3658:1467,Contig:188:543.698:552,Contig:90:56.3658:5p:1:3:155,Contig:78:316.833:684,Contig:178:51.2595:5p:1:10:193,Contig:136:36.9978:3p:1:10:261,Contig:10:43.5889:2457,Contig:65:75.7995:21078,Contig:45:197.424:954,Contig:88:30.8909:9110,Contig:79:75.5968:4343,Contig:206:116.54:779,Contig:125:26.8369:3p:1:122:163,Contig:139:264.931:653,Contig:136:36.9978:3p:1:13:303,Contig:13:300.614:597,Contig:157:57.4583:3p:1:4:206,Contig:93:85.7917:10481,Contig:161:68.5411:9564,Contig:159:718.244:809,Contig:138:35.7228:3p:1:2:579,Contig:204:76.8712:41878,Contig:59:34.9402:1996	4	-0.0868527214808367	3.3915999999999995	0.7597046664611318	0	0	0	0		1	False	0
efae-SAMN36766199	PBF_P1	Contig:3:449.536:Circ:4377	4	0.0	0.17279999999999995	11.236106765323669	PBF_P5	Contig:2:127.633:Circ:4461	4	0.0	0.22040000000000004	3.081942113156582	0	0	0	0		1	False	0
efae-SAMN36766199	PBF_P1	Contig:3:449.536:Circ:4377	4	0.0	0.17279999999999995	11.236106765323669	PBF_P6	Contig:188:543.698:552,Contig:179:76.864:5374,Contig:214:85.3975:7944,Contig:50:537.415:853	4	-0.0020251717045255413	0.7276000000000001	2.219922229374602	0	0	0	0		1	False	0
efae-SAMN36766199	PBF_P1	Contig:3:449.536:Circ:4377	4	0.0	0.17279999999999995	11.236106765323669	PBF_P7	Contig:102:88.6468:777,Contig:157:57.4583:793,Contig:136:36.9978:3p:1:14:116,Contig:210:565.886:1794,Contig:178:51.2595:5p:1:5:549,Contig:68:30.1742:1457,Contig:42:85.5519:3430,Contig:152:150.366:1324,Contig:108:35.4637:3p:1:2:484,Contig:50:537.415:853,Contig:84:49.1724:1544,Contig:209:258.736:739,Contig:76:1010.18:1514,Contig:138:35.7228:3p:1:15:551,Contig:86:85.4191:6389,Contig:116:37.7825:10272,Contig:77:284.925:3906,Contig:201:49.2948:4689,Contig:178:51.2595:5p:1:19:217,Contig:151:136.136:1466,Contig:32:174.226:1680,Contig:212:33.539:40749,Contig:90:56.3658:1467,Contig:188:543.698:552,Contig:28:55.5458:1170,Contig:90:56.3658:5p:1:3:155,Contig:78:316.833:684,Contig:178:51.2595:5p:1:10:193,Contig:136:36.9978:3p:1:10:261,Contig:183:57.759:8294,Contig:65:75.7995:21078,Contig:45:197.424:954,Contig:131:68.5403:2590,Contig:88:30.8909:9110,Contig:79:75.5968:4343,Contig:143:43.5521:1852,Contig:100:34.4641:3p:1:9:732,Contig:139:264.931:653,Contig:136:36.9978:3p:1:13:303,Contig:13:300.614:597,Contig:67:36.4104:6846,Contig:141:39.2662:3593,Contig:93:85.7917:10481,Contig:161:68.5411:9564,Contig:157:57.4583:3p:1:3:206,Contig:159:718.244:809,Contig:138:35.7228:3p:1:2:579,Contig:116:37.7825:5p:1:8:593,Contig:125:26.8369:3p:1:121:758,Contig:204:76.8712:41878,Contig:59:34.9402:1996	4	-0.06875050145016906	2.4417999999999997	0.7399915180892565	0	0	0	0		1	False	0
efae-SAMN36766199	PBF_P1	Contig:3:449.536:Circ:4377	4	0.0	0.17279999999999995	11.236106765323669	PBF_P8	Contig:79:75.5968:4343,Contig:161:68.5411:9564,Contig:32:174.226:1680,Contig:197:29.8052:3195,Contig:42:85.5519:3430,Contig:152:150.366:1324,Contig:159:718.244:809,Contig:86:85.4191:6389,Contig:76:1010.18:1514,Contig:204:76.8712:41878,Contig:93:85.7917:10481	4	-0.002697519314967839	1.9546000000000001	0.7632109485308795	0	0	0	0		1	False	0
efae-SAMN36766199	PBF_P1	Contig:3:449.536:Circ:4377	4	0.0	0.17279999999999995	11.236106765323669	PBF_P9	Contig:79:75.5968:4343,Contig:32:174.226:1680,Contig:152:150.366:1324,Contig:188:543.698:552,Contig:179:76.864:5374,Contig:86:85.4191:6389,Contig:56:28.1477:3170,Contig:50:537.415:853,Contig:204:76.8712:41878	4	-0.013127240753936509	1.5182000000000002	0.6984266766321093	0	0	0	0		1	False	0
efae-SAMN36766199	PBF_P1	Contig:3:449.536:Circ:4377	4	0.0	0.17279999999999995	11.236106765323669	PBF_P10	Contig:172:65.2698:1011,Contig:210:565.886:1794,Contig:117:96.5071:964,Contig:169:32.7776:15613,Contig:152:150.366:1324,Contig:144:96.241:1063,Contig:108:35.4637:3p:1:2:484,Contig:50:537.415:853,Contig:47:35.1711:4951,Contig:76:1010.18:1514,Contig:86:85.4191:6389,Contig:77:284.925:3906,Contig:201:49.2948:4689,Contig:32:174.226:1680,Contig:11:70.1131:2688,Contig:188:543.698:552,Contig:173:34.9282:5287,Contig:70:33.8615:9586,Contig:119:26.7415:2022,Contig:131:68.5403:2590,Contig:79:75.5968:4343,Contig:106:28.4304:5p:1:17:392,Contig:125:26.8369:2489,Contig:161:68.5411:9564,Contig:159:718.244:809,Contig:125:26.8369:3p:1:121:758,Contig:100:34.4641:3p:1:6:541,Contig:204:76.8712:41878,Contig:93:85.7917:10481	4	-0.002697519314967839	1.7468	0.6509760315358573	0	0	0	0		1	False	0
efae-SAMN36766199	PBF_P1	Contig:3:449.536:Circ:4377	4	0.0	0.17279999999999995	11.236106765323669	PBF_P11	Contig:40:66.7821:5p:1:3:553,Contig:142:27.3899:4418,Contig:125:26.8369:3p:1:109:752,Contig:40:66.7821:1803	4	0.0	0.684	0.7027516044365352	0	0	0	0		1	False	0
efae-SAMN36766199	PBF_P1	Contig:3:449.536:Circ:4377	4	0.0	0.17279999999999995	11.236106765323669	PBF_P12	Contig:188:543.698:552,Contig:213:32.3635:10982,Contig:50:537.415:853,Contig:108:35.4637:3p:1:5:489	4	0.0	0.44720000000000004	0.8457489689683815	0	0	0	0		1	False	0
efae-SAMN36766199	PBF_P1	Contig:3:449.536:Circ:4377	4	0.0	0.17279999999999995	11.236106765323669	PBF_P13	Contig:79:75.5968:4343,Contig:152:150.366:1324,Contig:86:85.4191:6389,Contig:204:76.8712:41878	4	-0.002697519314967839	0.8615999999999999	1.938683353738387	0	0	0	0		1	False	0
efae-SAMN36766199	PBF_P1	Contig:3:449.536:Circ:4377	4	0.0	0.17279999999999995	11.236106765323669	PBF_P14	Contig:210:565.886:1794,Contig:159:718.244:809,Contig:80:26.2343:5945,Contig:132:268.118:1089	4	0.0	0.39899999999999997	0.8108715697329167	0	0	0	0		1	False	0
efae-SAMN36766199	PBF_P1	Contig:3:449.536:Circ:4377	4	0.0	0.17279999999999995	11.236106765323669	PBF_P15	Contig:121:35.5111:5354,Contig:122:27.5939:3p:1:4:276,Contig:122:27.5939:3p:1:7:481,Contig:41:97.9887:951,Contig:122:27.5939:3p:1:8:463,Contig:122:27.5939:4388	4	-0.006032033777871176	0.2765999999999999	0.8904975935288741	0	0	0	0		1	False	0
efae-SAMN36766199	PBF_P1	Contig:3:449.536:Circ:4377	4	0.0	0.17279999999999995	11.236106765323669	PBF_P16	Contig:210:565.886:1794,Contig:159:718.244:809,Contig:145:34.8052:5548,Contig:132:268.118:1089	4	0.0	0.32559999999999995	0.8030303506241598	0	0	0	0		1	False	0
efae-SAMN36766199	PBF_P1	Contig:3:449.536:Circ:4377	4	0.0	0.17279999999999995	11.236106765323669	PBF_P17	Contig:135:32.9699:5p:1:25:671,Contig:162:29.9149:9241	4	0.0	0.12619999999999998	0.9747691681617551	0	0	0	0		1	False	0
efae-SAMN36766199	PBF_P1	Contig:3:449.536:Circ:4377	4	0.0	0.17279999999999995	11.236106765323669	PBF_P18	Contig:76:1010.18:1514,Contig:93:85.7917:10481	4	0.0	0.20420000000000005	2.1290819124636857	0	0	0	0		1	False	0
efae-SAMN36766199	PBF_P2	Contig:172:65.2698:1011,Contig:164:53.0191:4427,Contig:152:150.366:1324,Contig:179:76.864:5374,Contig:98:113.623:1298,Contig:144:96.241:1063,Contig:50:537.415:853,Contig:76:1010.18:1514,Contig:90:56.3658:5p:1:3:155,Contig:70:33.8615:9586,Contig:119:26.7415:2022,Contig:33:81.2677:5591,Contig:206:116.54:779,Contig:161:68.5411:9564,Contig:46:26.7245:26728,Contig:159:718.244:809,Contig:17:30.4511:1700,Contig:136:36.9978:3p:1:14:116,Contig:58:31.1346:5135,Contig:149:24.6094:2162,Contig:108:35.4637:3p:1:2:484,Contig:47:35.1711:4951,Contig:178:51.2595:5p:1:19:217,Contig:52:26.8434:2697,Contig:32:174.226:1680,Contig:173:34.9282:5287,Contig:136:36.9978:3p:1:10:261,Contig:118:175.893:1493,Contig:65:75.7995:21078,Contig:45:197.424:954,Contig:131:68.5403:2590,Contig:100:34.4641:3p:1:9:732,Contig:154:26.132:3880,Contig:157:57.4583:3p:1:4:206,Contig:204:76.8712:41878,Contig:43:32.7456:1091,Contig:102:88.6468:777,Contig:157:57.4583:793,Contig:210:565.886:1794,Contig:111:54.5961:4931,Contig:86:85.4191:6389,Contig:77:284.925:3906,Contig:178:51.2595:2346,Contig:90:56.3658:1467,Contig:178:51.2595:5p:1:21:218,Contig:11:70.1131:2688,Contig:29:39.7161:5936,Contig:133:35.7836:8387,Contig:125:26.8369:3p:1:122:163,Contig:125:26.8369:3p:1:13:494,Contig:116:37.7825:5p:1:8:593,Contig:227:27.4726:32381,Contig:59:34.9402:1996,Contig:93:85.7917:10481,Contig:125:26.8369:3p:1:55:193,Contig:42:85.5519:3430,Contig:125:26.8369:3p:1:14:532,Contig:171:62.2474:1930,Contig:84:49.1724:1544,Contig:116:37.7825:10272,Contig:125:26.8369:3p:1:142:209,Contig:201:49.2948:4689,Contig:151:136.136:1466,Contig:192:33.5453:3p:1:2:225,Contig:188:543.698:552,Contig:78:316.833:684,Contig:178:51.2595:5p:1:10:193,Contig:108:35.4637:3p:1:5:489,Contig:10:43.5889:2457,Contig:79:75.5968:4343,Contig:143:43.5521:1852,Contig:13:300.614:597,Contig:67:36.4104:6846,Contig:125:26.8369:2489,Contig:123:44.0973:587,Contig:138:35.7228:3p:1:2:579,Contig:125:26.8369:3p:1:121:758	4	-0.11876254511591505	7.214599999999999	0.5968942097532512	PBF_P3	Contig:102:88.6468:777,Contig:90:56.3658:5p:1:4:154,Contig:157:57.4583:793,Contig:136:36.9978:3p:1:14:116,Contig:210:565.886:1794,Contig:68:30.1742:1457,Contig:42:85.5519:3430,Contig:164:53.0191:4427,Contig:152:150.366:1324,Contig:98:113.623:1298,Contig:108:35.4637:3p:1:2:484,Contig:50:537.415:853,Contig:84:49.1724:1544,Contig:209:258.736:739,Contig:76:1010.18:1514,Contig:86:85.4191:6389,Contig:178:51.2595:2346,Contig:201:49.2948:4689,Contig:178:51.2595:5p:1:19:217,Contig:32:174.226:1680,Contig:60:31.8529:15921,Contig:192:33.5453:3p:1:2:225,Contig:90:56.3658:1467,Contig:188:543.698:552,Contig:78:316.833:684,Contig:178:51.2595:5p:1:10:193,Contig:136:36.9978:3p:1:10:261,Contig:118:175.893:1493,Contig:10:43.5889:2457,Contig:65:75.7995:21078,Contig:45:197.424:954,Contig:33:81.2677:5591,Contig:79:75.5968:4343,Contig:143:43.5521:1852,Contig:206:116.54:779,Contig:190:76.9418:641,Contig:29:39.7161:5936,Contig:133:35.7836:8387,Contig:139:264.931:653,Contig:136:36.9978:3p:1:13:303,Contig:218:31.4241:10096,Contig:13:300.614:597,Contig:157:57.4583:3p:1:4:206,Contig:217:32.6544:14320,Contig:161:68.5411:9564,Contig:159:718.244:809,Contig:138:35.7228:3p:1:2:579,Contig:56:28.1477:3170,Contig:204:76.8712:41878,Contig:227:27.4726:32381,Contig:93:85.7917:10481	4	-0.0797108616895961	4.5756	0.6116173974416539	4	-0.22300783532914228	12.089799999999999	0.5968942097533727	Contig:64:27.9726:2646	0	True	0
efae-SAMN36766199	PBF_P2	Contig:172:65.2698:1011,Contig:164:53.0191:4427,Contig:152:150.366:1324,Contig:179:76.864:5374,Contig:98:113.623:1298,Contig:144:96.241:1063,Contig:50:537.415:853,Contig:76:1010.18:1514,Contig:90:56.3658:5p:1:3:155,Contig:70:33.8615:9586,Contig:119:26.7415:2022,Contig:33:81.2677:5591,Contig:206:116.54:779,Contig:161:68.5411:9564,Contig:46:26.7245:26728,Contig:159:718.244:809,Contig:17:30.4511:1700,Contig:136:36.9978:3p:1:14:116,Contig:58:31.1346:5135,Contig:149:24.6094:2162,Contig:108:35.4637:3p:1:2:484,Contig:47:35.1711:4951,Contig:178:51.2595:5p:1:19:217,Contig:52:26.8434:2697,Contig:32:174.226:1680,Contig:173:34.9282:5287,Contig:136:36.9978:3p:1:10:261,Contig:118:175.893:1493,Contig:65:75.7995:21078,Contig:45:197.424:954,Contig:131:68.5403:2590,Contig:100:34.4641:3p:1:9:732,Contig:154:26.132:3880,Contig:157:57.4583:3p:1:4:206,Contig:204:76.8712:41878,Contig:43:32.7456:1091,Contig:102:88.6468:777,Contig:157:57.4583:793,Contig:210:565.886:1794,Contig:111:54.5961:4931,Contig:86:85.4191:6389,Contig:77:284.925:3906,Contig:178:51.2595:2346,Contig:90:56.3658:1467,Contig:178:51.2595:5p:1:21:218,Contig:11:70.1131:2688,Contig:29:39.7161:5936,Contig:133:35.7836:8387,Contig:125:26.8369:3p:1:122:163,Contig:125:26.8369:3p:1:13:494,Contig:116:37.7825:5p:1:8:593,Contig:227:27.4726:32381,Contig:59:34.9402:1996,Contig:93:85.7917:10481,Contig:125:26.8369:3p:1:55:193,Contig:42:85.5519:3430,Contig:125:26.8369:3p:1:14:532,Contig:171:62.2474:1930,Contig:84:49.1724:1544,Contig:116:37.7825:10272,Contig:125:26.8369:3p:1:142:209,Contig:201:49.2948:4689,Contig:151:136.136:1466,Contig:192:33.5453:3p:1:2:225,Contig:188:543.698:552,Contig:78:316.833:684,Contig:178:51.2595:5p:1:10:193,Contig:108:35.4637:3p:1:5:489,Contig:10:43.5889:2457,Contig:79:75.5968:4343,Contig:143:43.5521:1852,Contig:13:300.614:597,Contig:67:36.4104:6846,Contig:125:26.8369:2489,Contig:123:44.0973:587,Contig:138:35.7228:3p:1:2:579,Contig:125:26.8369:3p:1:121:758	4	-0.11876254511591505	7.214599999999999	0.5968942097532512	PBF_P4	Contig:102:88.6468:777,Contig:157:57.4583:793,Contig:136:36.9978:3p:1:14:116,Contig:178:51.2595:5p:1:5:549,Contig:68:30.1742:1457,Contig:42:85.5519:3430,Contig:58:31.1346:5135,Contig:152:150.366:1324,Contig:214:85.3975:7944,Contig:98:113.623:1298,Contig:108:35.4637:3p:1:2:484,Contig:50:537.415:853,Contig:84:49.1724:1544,Contig:209:258.736:739,Contig:76:1010.18:1514,Contig:86:85.4191:6389,Contig:178:51.2595:2346,Contig:178:51.2595:5p:1:19:217,Contig:151:136.136:1466,Contig:32:174.226:1680,Contig:192:33.5453:3p:1:2:225,Contig:90:56.3658:1467,Contig:188:543.698:552,Contig:90:56.3658:5p:1:3:155,Contig:78:316.833:684,Contig:178:51.2595:5p:1:10:193,Contig:136:36.9978:3p:1:10:261,Contig:10:43.5889:2457,Contig:65:75.7995:21078,Contig:45:197.424:954,Contig:88:30.8909:9110,Contig:79:75.5968:4343,Contig:206:116.54:779,Contig:125:26.8369:3p:1:122:163,Contig:139:264.931:653,Contig:136:36.9978:3p:1:13:303,Contig:13:300.614:597,Contig:157:57.4583:3p:1:4:206,Contig:93:85.7917:10481,Contig:161:68.5411:9564,Contig:159:718.244:809,Contig:138:35.7228:3p:1:2:579,Contig:204:76.8712:41878,Contig:59:34.9402:1996	4	-0.0868527214808367	3.3915999999999995	0.7597046664611318	4	-0.23014969512038289	10.905799999999997	0.5968942097533727	Contig:64:27.9726:2646	0	True	0
efae-SAMN36766199	PBF_P2	Contig:172:65.2698:1011,Contig:164:53.0191:4427,Contig:152:150.366:1324,Contig:179:76.864:5374,Contig:98:113.623:1298,Contig:144:96.241:1063,Contig:50:537.415:853,Contig:76:1010.18:1514,Contig:90:56.3658:5p:1:3:155,Contig:70:33.8615:9586,Contig:119:26.7415:2022,Contig:33:81.2677:5591,Contig:206:116.54:779,Contig:161:68.5411:9564,Contig:46:26.7245:26728,Contig:159:718.244:809,Contig:17:30.4511:1700,Contig:136:36.9978:3p:1:14:116,Contig:58:31.1346:5135,Contig:149:24.6094:2162,Contig:108:35.4637:3p:1:2:484,Contig:47:35.1711:4951,Contig:178:51.2595:5p:1:19:217,Contig:52:26.8434:2697,Contig:32:174.226:1680,Contig:173:34.9282:5287,Contig:136:36.9978:3p:1:10:261,Contig:118:175.893:1493,Contig:65:75.7995:21078,Contig:45:197.424:954,Contig:131:68.5403:2590,Contig:100:34.4641:3p:1:9:732,Contig:154:26.132:3880,Contig:157:57.4583:3p:1:4:206,Contig:204:76.8712:41878,Contig:43:32.7456:1091,Contig:102:88.6468:777,Contig:157:57.4583:793,Contig:210:565.886:1794,Contig:111:54.5961:4931,Contig:86:85.4191:6389,Contig:77:284.925:3906,Contig:178:51.2595:2346,Contig:90:56.3658:1467,Contig:178:51.2595:5p:1:21:218,Contig:11:70.1131:2688,Contig:29:39.7161:5936,Contig:133:35.7836:8387,Contig:125:26.8369:3p:1:122:163,Contig:125:26.8369:3p:1:13:494,Contig:116:37.7825:5p:1:8:593,Contig:227:27.4726:32381,Contig:59:34.9402:1996,Contig:93:85.7917:10481,Contig:125:26.8369:3p:1:55:193,Contig:42:85.5519:3430,Contig:125:26.8369:3p:1:14:532,Contig:171:62.2474:1930,Contig:84:49.1724:1544,Contig:116:37.7825:10272,Contig:125:26.8369:3p:1:142:209,Contig:201:49.2948:4689,Contig:151:136.136:1466,Contig:192:33.5453:3p:1:2:225,Contig:188:543.698:552,Contig:78:316.833:684,Contig:178:51.2595:5p:1:10:193,Contig:108:35.4637:3p:1:5:489,Contig:10:43.5889:2457,Contig:79:75.5968:4343,Contig:143:43.5521:1852,Contig:13:300.614:597,Contig:67:36.4104:6846,Contig:125:26.8369:2489,Contig:123:44.0973:587,Contig:138:35.7228:3p:1:2:579,Contig:125:26.8369:3p:1:121:758	4	-0.11876254511591505	7.214599999999999	0.5968942097532512	PBF_P5	Contig:2:127.633:Circ:4461	4	0.0	0.22040000000000004	3.081942113156582	0	0	0	0		1	False	0
efae-SAMN36766199	PBF_P2	Contig:172:65.2698:1011,Contig:164:53.0191:4427,Contig:152:150.366:1324,Contig:179:76.864:5374,Contig:98:113.623:1298,Contig:144:96.241:1063,Contig:50:537.415:853,Contig:76:1010.18:1514,Contig:90:56.3658:5p:1:3:155,Contig:70:33.8615:9586,Contig:119:26.7415:2022,Contig:33:81.2677:5591,Contig:206:116.54:779,Contig:161:68.5411:9564,Contig:46:26.7245:26728,Contig:159:718.244:809,Contig:17:30.4511:1700,Contig:136:36.9978:3p:1:14:116,Contig:58:31.1346:5135,Contig:149:24.6094:2162,Contig:108:35.4637:3p:1:2:484,Contig:47:35.1711:4951,Contig:178:51.2595:5p:1:19:217,Contig:52:26.8434:2697,Contig:32:174.226:1680,Contig:173:34.9282:5287,Contig:136:36.9978:3p:1:10:261,Contig:118:175.893:1493,Contig:65:75.7995:21078,Contig:45:197.424:954,Contig:131:68.5403:2590,Contig:100:34.4641:3p:1:9:732,Contig:154:26.132:3880,Contig:157:57.4583:3p:1:4:206,Contig:204:76.8712:41878,Contig:43:32.7456:1091,Contig:102:88.6468:777,Contig:157:57.4583:793,Contig:210:565.886:1794,Contig:111:54.5961:4931,Contig:86:85.4191:6389,Contig:77:284.925:3906,Contig:178:51.2595:2346,Contig:90:56.3658:1467,Contig:178:51.2595:5p:1:21:218,Contig:11:70.1131:2688,Contig:29:39.7161:5936,Contig:133:35.7836:8387,Contig:125:26.8369:3p:1:122:163,Contig:125:26.8369:3p:1:13:494,Contig:116:37.7825:5p:1:8:593,Contig:227:27.4726:32381,Contig:59:34.9402:1996,Contig:93:85.7917:10481,Contig:125:26.8369:3p:1:55:193,Contig:42:85.5519:3430,Contig:125:26.8369:3p:1:14:532,Contig:171:62.2474:1930,Contig:84:49.1724:1544,Contig:116:37.7825:10272,Contig:125:26.8369:3p:1:142:209,Contig:201:49.2948:4689,Contig:151:136.136:1466,Contig:192:33.5453:3p:1:2:225,Contig:188:543.698:552,Contig:78:316.833:684,Contig:178:51.2595:5p:1:10:193,Contig:108:35.4637:3p:1:5:489,Contig:10:43.5889:2457,Contig:79:75.5968:4343,Contig:143:43.5521:1852,Contig:13:300.614:597,Contig:67:36.4104:6846,Contig:125:26.8369:2489,Contig:123:44.0973:587,Contig:138:35.7228:3p:1:2:579,Contig:125:26.8369:3p:1:121:758	4	-0.11876254511591505	7.214599999999999	0.5968942097532512	PBF_P6	Contig:188:543.698:552,Contig:179:76.864:5374,Contig:214:85.3975:7944,Contig:50:537.415:853	4	-0.0020251717045255413	0.7276000000000001	2.219922229374602	4	-0.1207877168204406	7.942199999999999	0.5968942097533727		0	True	0
